CustomerID,Gender,AgeGroup,CategoryVisited,NumPagesViewed,DeviceUsed,ReferralSource,CartValue,PreferredPaymentMethod,DiscountApplied,DiscountAmount,PurchaseMade,Segment,YearsOfMembership,LoyaltyPoints,LoyaltyTier,State
AA-08870,Male,55-64,Furniture,6,Tablet,Direct,264.2371,PayPal,No,0,Yes,Home Office,5,1945,Silver,Florida
AA-12676,Male,65+,Home Supplies,7,Laptop,Direct,1596.3232,Credit Card,Yes,0.1,No,Home Office,6,1179,Platinum,California
AA-17187,Female,18-24,Home Supplies,15,Laptop,Search Engine,1491.0912,PayPal,Yes,0.3,No,Consumer,10,490,Gold,Texas
AA-17917,Female,18-24,Technology,4,Mobile,Social Media,177.126,Debit Card,Yes,0.1,No,Home Office,7,2235,Gold,Ohio
AA-20050,Male,65+,Furniture,19,Laptop,Direct,1885.3756,Bank Transfer,No,0,Yes,Home Office,3,2844,Silver,Alabama
AA-20395,Female,35-44,Technology,9,Laptop,Direct,1001.788,Bank Transfer,No,0,No,Home Office,9,2962,Gold,Florida
AA-26571,Female,55-64,Furniture,12,Laptop,Email,1037.2,Debit Card,Yes,0.3,Yes,Home Office,3,2846,Silver,New York
AA-26969,Female,25-34,Furniture,18,Tablet,Search Engine,458.9824,PayPal,Yes,0.7,Yes,Consumer,5,743,Platinum,Alabama
AA-30223,Female,65+,Home Supplies,9,Desktop,Email,1990.3308,Bank Transfer,No,0,No,Consumer,10,1406,Silver,Alabama
AA-35580,Female,25-34,Furniture,2,Tablet,Direct,295.5568,Credit Card,Yes,0.2,Yes,Corporate,4,3020,Bronze,Texas
AA-38094,Male,35-44,Home Supplies,9,Desktop,Email,1247.8176,PayPal,Yes,0.7,Yes,Corporate,9,3517,Silver,Florida
AA-41086,Male,25-34,Furniture,3,Desktop,Social Media,919.492,Credit Card,Yes,0.5,No,Consumer,9,1240,Silver,Alabama
AA-44288,Female,25-34,Furniture,10,Laptop,Search Engine,1395.784,Credit Card,No,0,No,Consumer,10,1273,Bronze,New York
AA-47309,Female,45-54,Furniture,14,Desktop,Email,1911.506,Bank Transfer,Yes,0.2,Yes,Corporate,10,3224,Bronze,California
AA-57931,Female,35-44,Technology,2,Desktop,Social Media,1227.127,Debit Card,Yes,0.3,No,Corporate,6,4438,Silver,New York
AA-61050,Male,45-54,Home Supplies,14,Mobile,Search Engine,298.1464,Bank Transfer,Yes,0.2,Yes,Corporate,3,4715,Silver,Alabama
AA-64296,Male,25-34,Furniture,7,Desktop,Email,2094.0001,Credit Card,Yes,0.5,No,Corporate,4,4149,Platinum,California
AA-65515,Female,65+,Furniture,2,Desktop,Social Media,1889.5072,PayPal,No,0,No,Home Office,9,1704,Silver,Alabama
AA-75145,Female,18-24,Home Supplies,2,Laptop,Search Engine,1268.848,Credit Card,No,0,No,Home Office,7,1655,Gold,New York
AA-80417,Female,18-24,Furniture,16,Desktop,Direct,1653.328,Credit Card,No,0,Yes,Home Office,3,1336,Platinum,California
AA-81383,Male,18-24,Furniture,18,Tablet,Email,413.7876,PayPal,No,0,No,Consumer,6,477,Platinum,Texas
AA-82836,Male,35-44,Home Supplies,15,Laptop,Search Engine,790.236,PayPal,Yes,0.1,Yes,Corporate,10,3109,Bronze,California
AA-86755,Female,55-64,Technology,9,Desktop,Direct,2021.367,Credit Card,No,0,No,Consumer,2,465,Bronze,Texas
AA-86870,Female,25-34,Technology,13,Tablet,Direct,623.2552,Credit Card,No,0,No,Consumer,2,1888,Platinum,California
AA-93464,Female,45-54,Furniture,3,Mobile,Social Media,291.58,PayPal,No,0,No,Home Office,8,2353,Platinum,Alabama
AA-96778,Male,25-34,Furniture,14,Desktop,Direct,1048.4698,Credit Card,No,0,Yes,Corporate,1,3741,Silver,Texas
AA-97226,Female,35-44,Technology,1,Laptop,Social Media,1171.3965,Credit Card,No,0,No,Home Office,1,1359,Gold,Florida
AA-99588,Male,65+,Home Supplies,4,Laptop,Email,948.12,Bank Transfer,No,0,No,Consumer,7,709,Bronze,Florida
AB-06285,Male,18-24,Home Supplies,7,Desktop,Email,886.9882,PayPal,Yes,0.1,No,Corporate,8,3827,Platinum,Alabama
AB-16984,Male,55-64,Home Supplies,3,Laptop,Social Media,1215.8966,Bank Transfer,Yes,0.5,Yes,Home Office,7,2782,Platinum,Alabama
AB-18403,Female,25-34,Furniture,12,Desktop,Email,1452.9516,Debit Card,Yes,0.2,Yes,Corporate,9,3664,Silver,Florida
AB-21850,Female,65+,Furniture,17,Desktop,Search Engine,1475.0068,Credit Card,No,0,No,Consumer,9,369,Silver,Ohio
AB-22009,Male,25-34,Furniture,12,Desktop,Direct,1964.2008,Credit Card,Yes,0.1,Yes,Corporate,10,4696,Platinum,New York
AB-26627,Female,55-64,Technology,7,Desktop,Social Media,1504.0084,Debit Card,Yes,0.7,No,Home Office,8,1989,Platinum,Alabama
AB-34120,Female,55-64,Home Supplies,4,Mobile,Direct,106.3392,PayPal,Yes,0.3,No,Consumer,10,800,Platinum,California
AB-38133,Female,45-54,Home Supplies,5,Desktop,Email,871.9912,Bank Transfer,Yes,0.3,No,Consumer,10,930,Gold,Florida
AB-38188,Male,65+,Home Supplies,12,Laptop,Search Engine,1175.0531,Credit Card,Yes,0.2,Yes,Corporate,5,4145,Bronze,New York
AB-40116,Female,65+,Home Supplies,14,Laptop,Search Engine,917.548,Bank Transfer,Yes,0.1,Yes,Corporate,9,3781,Bronze,New York
AB-41233,Male,25-34,Home Supplies,12,Laptop,Search Engine,1018.3872,Credit Card,No,0,Yes,Corporate,9,3770,Platinum,California
AB-48853,Female,18-24,Furniture,17,Laptop,Social Media,1218.7288,Credit Card,Yes,0.7,Yes,Home Office,4,2340,Bronze,California
AB-50383,Female,65+,Home Supplies,12,Laptop,Search Engine,800.992,PayPal,Yes,0.7,No,Home Office,2,1282,Bronze,New York
AB-51045,Female,35-44,Technology,3,Desktop,Email,739.1448,Credit Card,Yes,0.5,No,Home Office,5,2067,Silver,Ohio
AB-54140,Female,18-24,Home Supplies,5,Tablet,Direct,539.6152,Credit Card,Yes,0.7,No,Corporate,5,3301,Gold,Texas
AB-59621,Female,18-24,Technology,1,Tablet,Social Media,429.329,PayPal,Yes,0.1,No,Consumer,9,1432,Gold,California
AB-59985,Female,18-24,Furniture,4,Mobile,Social Media,492.5992,PayPal,No,0,No,Corporate,2,3160,Silver,Alabama
AB-61809,Female,25-34,Furniture,9,Desktop,Email,1316.5002,Credit Card,Yes,0.7,No,Consumer,5,1326,Silver,New York
AB-65314,Female,25-34,Technology,9,Laptop,Direct,1505.514,PayPal,Yes,0.7,No,Home Office,6,1898,Silver,California
AB-65592,Male,18-24,Furniture,17,Tablet,Email,1117.84,Debit Card,Yes,0.7,Yes,Home Office,5,2975,Bronze,Alabama
AB-68540,Male,35-44,Home Supplies,3,Desktop,Email,651.6504,Bank Transfer,Yes,0.7,Yes,Home Office,8,1874,Bronze,Ohio
AB-70692,Male,35-44,Technology,16,Desktop,Search Engine,1279.516,Bank Transfer,No,0,No,Corporate,7,4535,Gold,Florida
AB-83768,Male,25-34,Home Supplies,16,Laptop,Social Media,1056.016,Credit Card,Yes,0.5,Yes,Home Office,2,2272,Gold,Texas
AB-84027,Female,18-24,Technology,4,Desktop,Direct,783.68,Debit Card,Yes,0.7,No,Home Office,8,1502,Gold,Alabama
AB-85014,Female,45-54,Home Supplies,13,Tablet,Search Engine,495.2273,Credit Card,Yes,0.7,Yes,Consumer,4,1561,Bronze,Alabama
AB-93612,Female,55-64,Furniture,14,Laptop,Social Media,1444.819,Debit Card,No,0,Yes,Corporate,4,4493,Platinum,New York
AB-94904,Male,18-24,Home Supplies,3,Desktop,Search Engine,1671.12,PayPal,Yes,0.3,No,Consumer,3,149,Platinum,California
AB-97947,Female,45-54,Furniture,16,Laptop,Social Media,1685.912,Bank Transfer,Yes,0.8,Yes,Home Office,4,1263,Bronze,Alabama
